"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"    Estimate","","168,499","83,163","85,336","11,449","12,162","13,373","13,027","10,855","21,414","22,025","22,649","10,668","9,688","13,914","6,456","819","36.1","123,407","115,922","26,274","21,189","123,407","59,906","63,501","21,189","9,119","12,070","","168,499","162,615","5,884","162,615","141,134","16,525","1,104","N","N","N","N","1,390","N","N","N","N","N","N","N","83","N","N","N","N","2,379","5,884","1,999","2,660","309","0","","168,499","146,582","18,665","4,355","1,699","N","3,145","","168,499","43,587","39,534","578","27","3,448","124,912","104,172","15,815","146","1,390","83","167","3,139","0","3,139","59,393","","114,669","55,142","59,527"
"    Percent","","168,499","49.4%","50.6%","6.8%","7.2%","7.9%","7.7%","6.4%","12.7%","13.1%","13.4%","6.3%","5.7%","8.3%","3.8%","0.5%","(X)","73.2%","68.8%","15.6%","12.6%","123,407","48.5%","51.5%","21,189","43.0%","57.0%","","168,499","96.5%","3.5%","96.5%","83.8%","9.8%","0.7%","N","N","N","N","0.8%","N","N","N","N","N","N","N","0.0%","N","N","N","N","1.4%","3.5%","1.2%","1.6%","0.2%","0.0%","","168,499","87.0%","11.1%","2.6%","1.0%","N","1.9%","","168,499","25.9%","23.5%","0.3%","0.0%","2.0%","74.1%","61.8%","9.4%","0.1%","0.8%","0.0%","0.1%","1.9%","0.0%","1.9%","(X)","","114,669","48.1%","51.9%"
" -> Kaufman County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","118,350","58,708","59,642","8,360","8,339","9,996","8,352","7,085","15,925","16,847","15,229","8,103","6,025","8,776","4,329","984","36.0","85,946","82,148","17,502","14,089","85,946","41,947","43,999","14,089","6,517","7,572","","118,350","116,137","2,213","116,137","98,799","12,733","324","N","N","N","N","1,429","N","N","N","N","N","N","N","0","N","N","N","N","2,852","2,213","625","859","106","0","","118,350","100,913","13,553","1,279","1,683","N","3,329","","118,350","24,205","N","N","N","N","94,145","77,870","12,713","324","1,429","0","277","1,532","0","1,532","40,082","","79,532","38,140","41,392"
"    Percent","","118,350","49.6%","50.4%","7.1%","7.0%","8.4%","7.1%","6.0%","13.5%","14.2%","12.9%","6.8%","5.1%","7.4%","3.7%","0.8%","(X)","72.6%","69.4%","14.8%","11.9%","85,946","48.8%","51.2%","14,089","46.3%","53.7%","","118,350","98.1%","1.9%","98.1%","83.5%","10.8%","0.3%","N","N","N","N","1.2%","N","N","N","N","N","N","N","0.0%","N","N","N","N","2.4%","1.9%","0.5%","0.7%","0.1%","0.0%","","118,350","85.3%","11.5%","1.1%","1.4%","N","2.8%","","118,350","20.5%","N","N","N","N","79.5%","65.8%","10.7%","0.3%","1.2%","0.0%","0.2%","1.3%","0.0%","1.3%","(X)","","79,532","48.0%","52.0%"
" -> Rockwall County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","93,978","45,729","48,249","4,954","6,723","9,039","7,969","5,280","9,289","14,959","13,059","5,514","5,522","6,479","3,644","1,547","37.5","68,270","64,157","15,353","11,670","68,270","32,772","35,498","11,670","5,143","6,527","","93,978","90,920","3,058","90,920","80,801","5,936","54","N","N","N","N","2,560","N","N","N","N","N","N","N","0","N","N","N","N","1,569","3,058","N","N","N","N","","93,978","83,218","7,147","1,335","3,712","N","2,210","","93,978","16,097","13,061","1,253","422","1,361","77,881","67,732","5,801","54","2,560","0","0","1,734","0","1,734","32,700","","63,224","30,656","32,568"
"    Percent","","93,978","48.7%","51.3%","5.3%","7.2%","9.6%","8.5%","5.6%","9.9%","15.9%","13.9%","5.9%","5.9%","6.9%","3.9%","1.6%","(X)","72.6%","68.3%","16.3%","12.4%","68,270","48.0%","52.0%","11,670","44.1%","55.9%","","93,978","96.7%","3.3%","96.7%","86.0%","6.3%","0.1%","N","N","N","N","2.7%","N","N","N","N","N","N","N","0.0%","N","N","N","N","1.7%","3.3%","N","N","N","N","","93,978","88.6%","7.6%","1.4%","3.9%","N","2.4%","","93,978","17.1%","13.9%","1.3%","0.4%","1.4%","82.9%","72.1%","6.2%","0.1%","2.7%","0.0%","0.0%","1.8%","0.0%","1.8%","(X)","","63,224","48.5%","51.5%"
" -> Tarrant County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,016,872","985,977","1,030,895","145,627","150,345","154,051","142,314","135,933","300,187","274,487","269,693","120,225","106,354","133,084","62,053","22,519","34.3","1,477,573","1,400,637","279,661","217,656","1,477,573","711,148","766,425","217,656","94,668","122,988","","2,016,872","1,950,655","66,217","1,950,655","1,367,728","320,375","9,482","N","N","N","N","109,096","19,940","8,973","11,996","1,280","4,059","29,396","33,452","2,648","N","N","N","N","141,326","66,217","22,350","10,042","12,479","3,273","","2,016,872","1,423,814","354,188","25,450","126,752","5,817","151,542","","2,016,872","573,205","486,034","22,619","5,233","59,319","1,443,667","962,732","313,468","6,464","107,412","2,648","2,931","48,012","1,212","46,800","756,596","","1,293,167","618,188","674,979"
"    Percent","","2,016,872","48.9%","51.1%","7.2%","7.5%","7.6%","7.1%","6.7%","14.9%","13.6%","13.4%","6.0%","5.3%","6.6%","3.1%","1.1%","(X)","73.3%","69.4%","13.9%","10.8%","1,477,573","48.1%","51.9%","217,656","43.5%","56.5%","","2,016,872","96.7%","3.3%","96.7%","67.8%","15.9%","0.5%","N","N","N","N","5.4%","1.0%","0.4%","0.6%","0.1%","0.2%","1.5%","1.7%","0.1%","N","N","N","N","7.0%","3.3%","1.1%","0.5%","0.6%","0.2%","","2,016,872","70.6%","17.6%","1.3%","6.3%","0.3%","7.5%","","2,016,872","28.4%","24.1%","1.1%","0.3%","2.9%","71.6%","47.7%","15.5%","0.3%","5.3%","0.1%","0.1%","2.4%","0.1%","2.3%","(X)","","1,293,167","47.8%","52.2%"
